,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Response,Amount,TotalPurchases,Age,Years_Since_Registration,Cluster_labels
0,5524,Graduation,Single,58138.0,0,0,58,7,0,1,1617,25,67,11.772758384668036,Low
1,2174,Graduation,Single,46344.0,1,1,38,5,0,0,27,6,70,9.456536618754278,Low
2,4141,Graduation,Together,71613.0,0,0,26,4,0,0,776,21,59,10.406570841889117,Average
3,6182,Graduation,Together,26646.0,1,0,26,6,0,0,53,8,40,9.292265571526352,High
4,5324,PhD,Married,58293.0,1,0,94,5,0,0,422,19,43,9.99315537303217,Low
5,7446,Master,Together,62513.0,0,1,16,6,0,0,716,22,57,10.354551676933607,Low
6,965,Graduation,Divorced,55635.0,0,1,34,6,0,0,590,21,53,11.175906913073238,Low
7,6177,PhD,Married,33454.0,1,0,32,8,0,0,169,10,39,10.45037645448323,High
8,4855,PhD,Together,30351.0,1,0,19,9,0,1,46,6,50,10.614647501711156,High
9,5899,PhD,Together,5648.0,1,1,68,20,0,0,49,2,74,9.848049281314168,High
11,387,Basic,Married,7500.0,0,0,59,8,0,0,61,6,48,11.175906913073238,Low
12,2125,Graduation,Divorced,63033.0,0,0,82,2,0,0,1102,16,65,10.171115674195756,Low
13,8180,Master,Divorced,59354.0,1,1,53,6,0,0,310,15,72,10.171115674195756,High
14,2569,Graduation,Married,17323.0,0,0,38,8,0,0,46,5,37,11.268993839835728,Average
15,2114,PhD,Single,82800.0,0,0,23,3,0,1,1315,26,78,11.145790554414784,Low
16,9736,Graduation,Married,41850.0,1,1,51,8,0,0,96,9,44,11.063655030800822,High
17,4939,Graduation,Together,37760.0,0,0,20,7,0,0,317,13,78,11.378507871321013,Average
18,6565,Master,Married,76995.0,0,1,91,5,0,0,1782,26,75,10.806297056810404,High
19,2278,2n Cycle,Single,33812.0,1,0,86,6,0,0,133,8,39,11.852156057494867,High
20,9360,Graduation,Married,37040.0,0,0,41,8,0,0,316,12,42,11.441478439425051,High
21,5376,Graduation,Married,2447.0,1,0,42,1,0,0,1730,43,45,10.628336755646817,Low
22,1993,PhD,Married,58607.0,0,1,63,8,0,0,972,17,75,11.066392881587953,Average
23,4047,PhD,Married,65324.0,0,1,0,4,0,0,544,20,70,9.210130047912388,Low
24,1409,Graduation,Together,40689.0,0,1,69,8,0,0,444,20,73,10.833675564681725,High
25,7892,Graduation,Single,18589.0,0,0,89,7,0,0,75,8,55,10.956878850102669,Low
26,2404,Graduation,Married,53359.0,1,1,4,7,0,0,257,14,48,10.642026009582478,High
28,9422,Graduation,Married,38360.0,1,0,26,3,0,0,131,9,35,10.63107460643395,High
29,1966,PhD,Married,84618.0,0,0,96,2,0,0,1672,26,59,10.151950718685832,High
30,6864,Master,Divorced,10979.0,0,0,34,5,0,0,30,8,35,9.656399726214921,Low
31,3033,Master,Together,38620.0,0,0,56,3,0,0,318,11,61,10.198494182067078,Low
32,5710,Graduation,Together,40548.0,0,1,31,5,0,0,120,9,54,11.268993839835728,Average
33,7373,PhD,Divorced,46610.0,0,2,8,6,0,1,302,17,72,11.21697467488022,Low
34,8755,Master,Married,68657.0,0,0,4,7,0,0,1196,18,78,10.904859685147159,Average
35,10738,Master,Single,49389.0,1,1,55,7,0,0,65,6,73,10.38466803559206,High
36,4339,PhD,Married,67353.0,0,1,37,2,0,0,913,28,54,10.04517453798768,Low
37,10755,2n Cycle,Married,23718.0,1,0,76,7,0,0,81,9,48,10.934976043805612,Low
38,8595,Graduation,Widow,42429.0,0,1,99,5,0,0,67,7,51,9.207392197125257,Average
39,2968,PhD,Divorced,48948.0,0,0,53,6,0,1,902,24,81,11.039014373716633,High
40,8601,Graduation,Married,80011.0,0,1,3,4,0,0,1395,21,44,10.718685831622176,High
41,503,Master,Married,20559.0,1,0,88,8,0,0,53,7,39,10.121834360027378,High
42,8430,Graduation,Together,21994.0,0,1,4,5,0,0,22,4,67,11.063655030800822,Average
44,2139,Master,Married,7500.0,1,0,19,5,0,0,31,8,49,10.932238193018481,Low
45,1371,Graduation,Single,79941.0,0,0,72,1,0,0,984,16,48,9.555099247091034,Average
46,9909,2n Cycle,Married,7500.0,0,0,24,9,0,1,122,10,28,11.34839151266256,Average
47,7286,Graduation,Together,41728.0,1,0,92,10,0,0,55,5,56,10.650239561943874,Average
49,6566,PhD,Married,72550.0,1,1,39,8,0,0,1319,28,70,11.433264887063656,Average
50,8614,Graduation,Widow,65486.0,0,1,29,2,0,0,507,17,67,9.117043121149898,Average
51,4114,Master,Married,79143.0,0,0,2,3,0,0,1693,29,60,11.189596167008897,Average
52,1331,Graduation,Single,35790.0,1,0,54,7,0,0,72,7,47,10.956878850102669,Average
53,2225,Graduation,Divorced,82582.0,0,0,54,1,0,1,1617,21,47,9.533196440793978,High
54,9381,Graduation,Married,66373.0,1,1,57,3,0,0,606,23,46,10.113620807665983,Low
55,6260,Master,Together,82384.0,0,0,55,1,0,1,1957,27,69,11.159479808350445,Average
56,10383,Graduation,Divorced,70287.0,0,0,30,3,0,1,1093,21,58,10.948665297741274,Average
57,7437,Graduation,Single,27938.0,1,0,31,3,0,0,29,6,36,9.722108145106091,Low
59,8375,PhD,Married,55954.0,0,1,63,7,0,0,518,19,56,9.875427789185489,Average
60,6853,Master,Single,75777.0,0,0,12,1,0,1,1438,21,42,10.778918548939084,High
61,3076,Graduation,Together,66653.0,1,1,18,3,0,0,612,22,49,11.523613963039015,High
62,1012,Graduation,Single,61823.0,0,1,26,7,0,0,884,24,72,10.910335386721425,Average
63,6518,PhD,Widow,67680.0,0,1,8,5,0,0,606,19,73,10.195756331279945,Average
64,4137,Graduation,Together,70666.0,0,0,29,4,0,0,1076,16,76,10.598220396988363,Average
65,8082,Graduation,Married,25721.0,1,0,75,7,0,1,34,5,53,10.65845311430527,Average
66,1386,Graduation,Together,32474.0,1,1,0,7,0,0,11,4,57,9.19917864476386,Average
67,9369,2n Cycle,Single,88194.0,0,1,19,5,0,1,1274,32,45,9.831622176591376,Low
68,4477,Graduation,Together,69096.0,0,1,4,4,0,0,653,18,66,10.30527036276523,High
69,1357,Graduation,Together,74854.0,1,2,90,5,0,0,1562,19,54,10.453114305270363,Low
70,1402,Master,Married,66991.0,0,0,1,3,0,0,1253,21,70,11.186858316221766,Average
72,6312,Graduation,Married,65031.0,0,1,29,7,0,0,863,30,65,10.836413415468858,High
73,8132,PhD,Married,60631.0,1,1,88,7,0,0,661,24,49,10.704996577686517,Low
74,1050,Graduation,Married,28332.0,0,0,58,2,0,0,65,8,72,9.716632443531827,High
75,5846,Graduation,Divorced,40246.0,1,0,68,6,0,0,13,4,47,11.077344284736482,High
76,1859,Master,Married,75251.0,0,0,34,5,0,1,1890,19,52,11.38945927446954,High
77,7503,Graduation,Single,75825.0,0,0,40,4,0,1,2209,22,48,11.101984941820671,High
78,10401,2n Cycle,Together,26326.0,0,0,12,3,1,0,18,4,48,10.77344284736482,Average
79,1618,Graduation,Together,56046.0,0,0,9,8,0,1,692,21,59,10.956878850102669,High
80,3332,Graduation,Single,29760.0,1,0,87,8,0,0,165,12,39,11.383983572895277,High
81,2261,Graduation,Married,26304.0,1,0,5,7,0,0,16,4,55,10.568104038329912,Low
82,5346,2n Cycle,Married,23559.0,1,0,87,7,0,0,79,9,51,10.863791923340179,Average
83,4119,Master,Together,38620.0,0,0,56,3,0,0,318,11,61,10.198494182067078,Low
